runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,clarification,completed_no_cap_hit,2,540,69,12.78,0,0,0,5.704
langgraph_only,2,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.647
langgraph_only,3,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,2.702
langgraph_only,4,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.407
langgraph_only,5,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.297
langgraph_only,6,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.694
langgraph_only,7,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.673
langgraph_only,8,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,2.66
langgraph_only,9,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,2.891
langgraph_only,10,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.941
langgraph_with_guard,1,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.498
langgraph_with_guard,2,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,5.76
langgraph_with_guard,3,openai,clarification,completed_no_cap_hit,2,540,60,11.11,0,0,0,4.685
langgraph_with_guard,4,openai,clarification,completed_no_cap_hit,2,540,60,11.11,0,0,0,3.916
langgraph_with_guard,5,openai,clarification,completed_no_cap_hit,2,540,60,11.11,0,0,0,2.705
langgraph_with_guard,6,openai,clarification,completed_no_cap_hit,2,540,60,11.11,0,0,0,3.872
langgraph_with_guard,7,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.073
langgraph_with_guard,8,openai,clarification,completed_no_cap_hit,2,540,60,11.11,0,0,0,4.306
langgraph_with_guard,9,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,7.787
langgraph_with_guard,10,openai,clarification,completed_no_cap_hit,2,540,70,12.96,0,0,0,3.688
crewai,1,openai,clarification,completed_no_cap_hit,1,540,428,79.26,0,0,0,13.762
crewai,2,openai,clarification,completed_no_cap_hit,1,540,430,79.63,0,0,0,12.391
crewai,3,openai,clarification,completed_no_cap_hit,1,540,451,83.52,0,0,0,11.064
crewai,4,openai,clarification,completed_no_cap_hit,1,540,433,80.19,0,0,0,9.578
crewai,5,openai,clarification,completed_no_cap_hit,1,540,450,83.33,0,0,0,12.243
crewai,6,openai,clarification,completed_no_cap_hit,1,540,427,79.07,0,0,0,16.962
crewai,7,openai,clarification,completed_no_cap_hit,1,540,426,78.89,0,0,0,12.597
crewai,8,openai,clarification,completed_no_cap_hit,1,540,428,79.26,0,0,0,11.875
crewai,9,openai,clarification,completed_no_cap_hit,1,540,435,80.56,0,0,0,12.292
crewai,10,openai,clarification,completed_no_cap_hit,1,540,436,80.74,0,0,0,15.16
token_capabilities,1,openai,clarification,compile_time_reservation_refused,8,540,451,83.52,0,0,0,17.652
token_capabilities,2,openai,clarification,compile_time_reservation_refused,8,540,451,83.52,0,0,0,14.297
token_capabilities,3,openai,clarification,compile_time_reservation_refused,8,540,415,76.85,0,0,0,14.136
token_capabilities,4,openai,clarification,compile_time_reservation_refused,8,540,414,76.67,0,0,0,15.199
token_capabilities,5,openai,clarification,compile_time_reservation_refused,8,540,409,75.74,0,0,0,17.113
token_capabilities,6,openai,clarification,compile_time_reservation_refused,8,540,451,83.52,0,0,0,17.063
token_capabilities,7,openai,clarification,compile_time_reservation_refused,8,540,409,75.74,0,0,0,19.385
token_capabilities,8,openai,clarification,compile_time_reservation_refused,8,540,447,82.78,0,0,0,13.689
token_capabilities,9,openai,clarification,compile_time_reservation_refused,8,540,400,74.07,0,0,0,12.295
token_capabilities,10,openai,clarification,compile_time_reservation_refused,8,540,451,83.52,0,0,0,13.298
